Absorber Бампер
Accelerator Акселератор
Accumulator Аккумулятор
Armrest Подлокотник
Bonnet Капот
Brake Тормоз
Bulbs Лампы
Cab Кабина
Carburetor Карбюратор
Chassis Шасси
Clutch Сцепление
Cylinder Цилиндр
Diesel Дизель
Engine Двигатель
Fender Крыло
Garage Гараж
Gear Передача
Handbrake Тормоз
Hatchback Хэчбэк
Headlights Фары
Highway Автострада
Horn Сигнал
Ignition Зажигание
Jack Домкрат
Lorry Грузовик
Oil Масло
Pedal Педаль
Petrol Бензин
Pump Насос
Radiator Радиатор
Road Дорога
Screwdriver Отвертка
Sedan Седан
Spanner Ключ
Speedometer Спидометр
Spring Рессора
Starter Стартер
Suspension Подвеска
Tank Бензобак
Tire Шина
Tool Инструмент
Trailer Прицеп
Trunk Багажник
Van Автофургон
Wheel Колесо
