Physics Физика	
Particle Частица	
Atom Атом	
Mucleus Ядро	
Nuclear Ядерный	
Electron Электрон	
Proton Протон	
Neutron Нейтрон	
Electronic Электронный	
Radiation Радиация	
Radioactivity Радиоактивность	
Radioactive Радиоактивный	
Charge Заряд	
Electricity Электричество	
Alternator Генератор
Energy Энергия	
Force Сила	
Power Мощность	
Voltage Напряжение	
Resistance Сопротивление	
Mass Масса	
Weight Вес	
Frequency Частота	
Sound Звук	
Chemistry Химия	
Substance Вещество	
Albumen Белок	
Protein Протеин	
Fat Жир	
Carbohydrate Углевод	
Solution Раствор	
Reaction Реакция	
Residue Осадок	
Slidge Шлам	
Analysis Анализ	
Structure Строение	
Molecule Молекула
