Actor Актриса
Adventure Приключенческий
Animator Аниматор
Cameraman Оператор
Caption Титр
Cartoon Мультфильм
Character Персонаж
Cinema Кинотеатр
Colour Цветной
Comedy Комедия
Designer Дизайнер
Director Режиссер
Documentary Документальный
Drama Драма
Dubbed Дублированый
Educational Общеобразовательный
Episode Эпизод
Feature Художественный
Film Фильм
Full-Length Полнометражный
Historical Исторический
Horror Ужасы
Movie Кинофильм
Musical Мюзикл
Mute Немой
Newsreel Кинотрейлер
Poster Афиша
Producer Продюсер
Scene Сцена
Screen Экран
Script Сценарий
Scriptwriter Сценарист
Serial Сериал
Shot Кадр
Showing Показ
Still Кадр
Subtitle Субтитр
Final Финальный
Thriller Триллер
Play Играть
Shoot Снимать
Tragedy Трагедия
Western Вэстерн
