Arch Арка
Bar	Бар
Baths	Бассейн
Bench	Скамья
Bridge Мост
Building	Здание
Cafe	Кафе
Cathedral	Собор
Church	Церковь
Cinema	Кинотеатр
Circus	Цирк
City	Город
Corner	Угол
Crossroads Перекрёсток
Crosswalk	Переход
Cul-De-Sac	Тупик
Flower-Bed	Клумба
Fountain	Фонтан
Gallery	Галерея
Gate	Орота
Hospital	Больница
Hotel	Гостиница
Intersection	Перекрёсток
Junction	Перекрёсток
Kiosk	Киоск
Library	Библиотека
Market	Базар
Memorial	Памятник
Monument	Памятник
Mosque	Мечеть
Museum	Музей
Park	Парк
Pavement Тротуар
Police Полиция
Restaurant Ресторан
Road Дорога
Seat Скамья
Shop Магазин
Sidewalk Тротуар
Square Площадь
Stadium Стадион
Stall Киоск
Statue Статуя
Street Улица
Suburb Окраина
Supermarket Супермаркет
Synagogue Синагога
Theatre Театр
Town Городок
Zoo Зоопарк
