Archaeology Археология
Art Искусство
Biology Биология
Botany Ботаника
Certificate Свидетельство
Cheat Списывать
Chemistry Химия
Diploma Диплом
Economics Экономика
Educate Воспитывать
Education Образование
Educator Преподаватель
Examination Экзамен
Examine Экзаменовать
Examiner Экзаменатор
Fail Проваливаться
Languages Иностранный
Geography География
Geology Геология
Graduate Выпускник
Head-Teacher Завуч
History История
Instructor Инструктор
Lecturer Лектор
Mathematics Математика
Music Музыка
Pass Сдать
Physics Физика
Psychology Психология
Pupil Ученик
Qualification Квалификация
Retake Пересдавать
Schoolboy Ученик
Schoolgirl Ученица
Science Наука
Sociology Социология
Student Студент
Teacher Учитель
Test Тест
