Accordion Аккордеон
Album Альбом
Bagpipe Волынка
Balalaika Балалайка
Ballet Балет
Band Группа
Bass Контрабас
Basson Фагот
Bow Смычок
Cello Виолончель
Clarinet Кларнет
Composer Композитор
Concert Концерт
Conductor Дирижер
Cymbals Тарелки
Drum Барабан
Flute Флейта
Guitar Гитара
Harp Арфа
Horn Рожок
Microphone Микрофон
Musician Музыкант
Oboe Гобой
Opera Опера
Operetta Оперетта
Orchestra Оркестр
Organ Орган
Percussion Перкуссия
Piano Пианино
Saxophone Саксофон
Single Песня
Soloist Солист
Song Песня
Sound Звук
Symphony Симфония
Synthesizer Синтезатор
Accompany Аккомпанировать
Trombone Тромбон
Trumpet Труба
Tuba Туба
Video-Clip Видео-Клип
Viola Альт
Violin Скрипка
Virtuoso Виртуоз
