Politics Политика	
Political Политический	
Socio-Political Общественно-Политический	
Politician Политик	
International Международный	
National Национальный	
Nationality Национальность	
Nation Нация	
People Люди	
Folks Народ	
Right Право	
Freedom Свобода	
Quality Равенство	
Equal Равный
Independent Независимый	
Dependent Зависимый	
Inequality Неравенство	
Democracy Демократия	
Democratic Демократический	
Totalitarianism Тоталитаризм	
Totalitarian Тоталитарный	
System Система	
Regime Режим	
Struggle Борьба	
Movement Движение	
Opposition Оппозиция	
Defend Отстаивать		
Demostration Демонстрация	
Slogan Лозунг	
Banner Плакат	
Demand Требовать	
Strike Забастовка		
Picket Пикет	
Call Призывать	
Appeal Звать	
Revolution Революция	
Uprising Восстание	
Disturbances Беспорядки	
Organizer Организатор	
Organize Организовывать	
Participate Участвовать	
Participant Участник	
Member Член	
Conspiracy Заговор	
Conspirator Заговорщик	
Revolutionary Революционер	
Mutiny Мятеж	
Rebellious Мятежный	
Putsch Путч
