Buddhism Буддизм
Buddhist Буддист
Capitalism Капитализм
Ceremony Церемония
Christian Христианин
Christianity Христианство
Citizenship Гражданство
Contemporary Современный
Culture Культура
Custom Обычай
Dangerous Опасный
Democracy Демократия
Dictatorship Диктатура
Duty Обязанность
Election Выборы
Embassy Посольство
Extortion Вымогательство
Faith Вера
Freedom Свобода
General Всеобщий
Government Правительство
Hinduism Индуизм
Independence Независимость
International Международный
Islam Ислам
Judaism Иудаизм
Power Власть
Just Справедливый
King Король
Legislative Законодательный
Majority Большинство
Minority Меньшинство
Monarchy Монархия
Moslem Мусульманин
Negotiation Переговоры
Opinion Мнение
Police Полиция
Politician Политик
Politics Политика
Population Население
Powerful Мощный
Prayer Молитва
Prejudice Предрассудок
President Президент
Queen Королева
Religion Религия
Representative Представитель
Slavery Рабство
Social Общественный
Struggle Бороться
Agree Соглашаться
Believe Верить
Discuss Обсуждать
Pray Молиться
Prohibit Запрещать
Vote Голосовать
Tradition Традиция
Unfair Несправедливый
