physics	физика	
particle	частица	
atom	атом	
mucleus ядро	
nuclear	ядерный	
electron	электрон	
proton	протон	
neutron	нейтрон	
electronic	электронный	
radiation	радиация	
radioactivity	радиоактивность	
radioactive	радиоактивный	
charge	заряд	
electricity	электричество	
alternator	генератор
energy	энергия	
force	сила	
power	мощность	
voltage напряжение	
resistance	сопротивление	
mass	масса	
weight	вес	
frequency	частота	
sound	звук	
chemistry	химия	
substance	вещество	
albumen	белок	
protein	протеин	
fat	жир	
carbohydrate	углевод	
solution	раствор	
reaction	реакция	
residue	осадок	
slidge	шлам	
analysis	анализ	
structure	строение	
molecule	молекула
